cantons
Aargau
Appenzell Ausserrhoden
Appenzell Innerrhoden
Basel-Landschaft [Basel Country]
Basel-Stadt [Basel City]
Bern (Berne)
Fribourg (Freiburg)
Genève [Geneva]
Glarus
"Graubünden (Grigioni, Grischun) [Grisons]"
Jura
Luzern [Lucerne]
Neuchâtel
Nidwalden [Nidwald]
Obwalden [Obwald]
Schaffhausen
Schwyz
Solothurn
St. Gallen
Thurgau [Thurgovia]
Ticino
Uri
Valais (Wallis)
Vaud (Waadt)
Zug
Zürich [Zurich]
