,UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,BEZIRKSNUM,SEE_FLAECH,REVISION_Q,BEZIRKSFLA,BEZIRK_TEI,NAME,KANTONSNUM,ICC,EINWOHNERZ
27,{6044853D-56F7-493E-93CC-3D9E2608DAF4},20181122134129,20121026122135,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,2311,,2019_Aufbau,41837.0,0,Sierre,23,CH,49230.0
28,{15A1FB4D-39DC-463E-8683-0779F4F0062E},20181122134130,20121026122134,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,2305,,2019_Aufbau,46607.0,1,Hérens,23,CH,10862.0
29,{82E2EBCA-9E11-40EE-A008-E4C5655676F4},20151208153209,20121026122134,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2227,0.0,2019_Aufbau,37307.0,0,Morges,22,CH,82609.0
30,{E5E737D4-F808-4432-BEAE-C6FCC71CA2E0},20151209151017,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2102,,2019_Aufbau,36058.0,0,Blenio,21,CH,5682.0
31,{8091C6EB-0310-4108-868F-EE308DEB872E},20181122134129,20121026122134,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,2105,2812.0,2019_Aufbau,33606.0,0,Lugano,21,CH,151592.0
32,{3F768EDE-9BF6-467D-BB56-325D84B1E3B6},20191106081130,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2019,6,Bezirk,315,,2019_Aufbau,33742.0,0,Willisau,3,CH,54219.0
33,{77C8C0A5-7819-416F-AFEA-648E05CE91C6},20181122120935,20121026122135,2012,10,2020,1,Verbessert,AV,2019,1,Bezirk,243,3.0,2019_Aufbau,33679.0,0,Seeland,2,CH,74769.0
34,{9AAFFDEF-8FED-4D54-B2DC-D4A61A9D9859},20151209151017,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,2306,,2019_Aufbau,33527.0,0,Leuk,23,CH,12355.0
35,{5B11E9B1-61E5-43C0-B431-88FB1DDC31AC},20191106080428,20121026122135,2012,10,2020,1,Verbessert,swisstopo,2019,6,Bezirk,2603,,2019_Aufbau,33509.0,0,Porrentruy,26,CH,24440.0
36,{D043C955-84F3-4253-8998-D04C353A82B1},20151209151017,20121026122135,2012,10,2020,1,Verbessert,AV,2015,12,Bezirk,244,,2019_Aufbau,33083.0,0,Oberaargau,2,CH,81759.0
